date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:44:52	579/579	---MCZ	200	added ('OK')	text/plain	date:Mon,%2023%20Jun%202025%2016:14:51%20GMT	https://sage.pixpa.com/robots.txt		(from )
21:44:52	770502/770502	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Jun%202025%2016:14:52%20GMT	https://sage.pixpa.com/	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/sage.pixpa.com/index.html	(from )
21:44:53	362835/362835	---MCZ	200	added ('OK')	application/javascript	etag:W/%226856a142-58953%22	https://px-themeassets.pixpa.com/compiled/js/jquery_update.js?id=4b2aeedaaa031ae495022b1ce802dbc7	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/js/jquery_update4722.js	(from https://sage.pixpa.com/)
21:44:53	24012/24012	---MCZ	200	added ('OK')	text/css	etag:W/%2267ad9460-5dcc%22	https://px-themeassets.pixpa.com/compiled/css/components/animation.css?id=17c305533647da7ebde495d45592c196	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/components/animationb9c9.css	(from https://sage.pixpa.com/)
21:44:53	581/581	---M--	200	added ('OK')	application/javascript	etag:%226856a142-245%22	https://px-themeassets.pixpa.com/compiled/js/grid-animation.js?id=3366397074a3b337579f13d52d1b5c66	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/js/grid-animation9d45.js	(from https://sage.pixpa.com/)
21:44:53	24463/24463	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ad9158-5f8f%22	https://px-themeassets.pixpa.com/js/vendor/form-validation.min.js	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/js/vendor/form-validation.min.js	(from https://sage.pixpa.com/)
21:44:54	1541/1541	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ad9156-605%22	https://px-themeassets.pixpa.com/js/lg/froogaloop2.min.js?id=1	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/js/lg/froogaloop2.min681a.js	(from https://sage.pixpa.com/)
21:44:54	4501/4501	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2023%20Jun%202025%2016:14:54%20GMT	https://sage.pixpa.com/e,location.href	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/sage.pixpa.com/e,location.href	(from https://sage.pixpa.com/)
21:44:55	61332/61332	---MCZ	200	added ('OK')	text/css	etag:W/%226856a0ec-ef94%22	https://px-themeassets.pixpa.com/compiled/css/old_custom_page_assets.css?id=403a53fc0358b7a41d3762d4ee4b3bf3	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/old_custom_page_assets7259.css	(from https://sage.pixpa.com/)
21:44:55	213629/213629	---MCZ	200	added ('OK')	text/css	etag:W/%226856a0de-3427d%22	https://px-themeassets.pixpa.com/compiled/css/themesv2.css?id=0585715a48b027755a044b204487b296	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/themesv2e85f.css	(from https://sage.pixpa.com/)
21:44:55	45021/45021	---MCZ	200	added ('OK')	text/css	etag:W/%226856a0ec-afdd%22	https://px-themeassets.pixpa.com/compiled/css/mixcss.css?id=01157e99ceb4e5c2067bbc4305c94faf	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/mixcss7c34.css	(from https://sage.pixpa.com/)
21:44:55	271582/271582	---MCZ	200	added ('OK')	text/css	etag:W/%22683980f4-424de%22	https://px-themeassets.pixpa.com/compiled/css/components/common.css?id=70e6022adfb6eba4723f4edd3961982d	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/components/common9b4b.css	(from https://sage.pixpa.com/)
21:44:55	101738/101738	---MCZ	200	added ('OK')	text/css	etag:W/%226856a11a-18d6a%22	https://px-themeassets.pixpa.com/compiled/css/vendor/pixpalg_all_v2.css?id=ea26497bf09408d373d9586f210ecf37	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/compiled/css/vendor/pixpalg_all_v2aeea.css	(from https://sage.pixpa.com/)
21:44:56	3619/3619	---MCZ	200	added ('OK')	text/css	etag:W/%2267ad914a-e23%22	https://px-themeassets.pixpa.com/custom-page-v2/assets/minimalist-blocks/variable.css	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/custom-page-v2/assets/minimalist-blocks/variable.css	(from https://sage.pixpa.com/)
21:44:56	3773/3773	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ad9158-ebd%22	https://px-themeassets.pixpa.com/js/vendor/lazysizes/ls.respimg.min.js?id=1	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/js/vendor/lazysizes/ls.respimg.min681a.js	(from https://sage.pixpa.com/)
21:44:56	4691/4691	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ad9158-1253%22	https://px-themeassets.pixpa.com/js/vendor/lazysizes/ls.parent-fit.js?id=1	C:/Users/vishn/OneDrive/Documents/Templates_web/Anit_portfolio/px-themeassets.pixpa.com/js/vendor/lazysizes/ls.parent-fit681a.js	(from https://sage.pixpa.com/)
